images,retweet_of,handle_original_tweet,handle_original_tweet_name,handle_original_tweet_user,type_of_tweet,time_elapsed,comments_on_tweet,retweets_on_tweet,quote_on_tweet,likes_on_tweet,text,link,profile,profile_handle,posts,likes,followers,following,user,username,quote_original_text
['https://nitter.poast.org/pic/orig/media%2FGGtYzcoWgAAvkwT.jpg'],Conservatives retweeted,,James Cleverly🇬🇧,@JamesCleverly,retweet,"Feb 19, 2024 · 3:16 PM UTC","14,211",860,"6,940","4,184","Today in Parliament we have laid an order to ban overseas care workers from bringing dependants. 

This is just one part of our plan to deliver the biggest-ever cut in migration 👇",https://nitter.poast.org/JamesCleverly/status/1759597950353752091#m,Conservatives,Conservatives,31781,6757,619757,1726,James Cleverly🇬🇧,@JamesCleverly,
[],Conservatives retweeted,,David TC Davies MP 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧,@DavidTCDavies,retweet,"Feb 19, 2024 · 1:17 PM UTC",53,47,7,108,"The final straw that could push Welsh farms off a cliff is Labour's Sustainable Farming Scheme.

It means farmers won't be able to access funding without strings attached: 20% of farming land must be forfeited for tree planting& wildlife habitation. (1/6)

farmersguardian.com/blog/417…",https://nitter.poast.org/DavidTCDavies/status/1759567934219853968#m,Conservatives,Conservatives,31781,6757,619757,1726,David TC Davies MP 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇬🇧,@DavidTCDavies,
['https://nitter.poast.org/pic/orig/media%2FGGs8hv3XsAA4Kuw.png'],Conservatives retweeted,,Jeremy Hunt,@Jeremy_Hunt,retweet,"Feb 19, 2024 · 1:15 PM UTC",779,75,31,209,"If @angelarayner means a 'doom loop' where low paid jobs and unemployment have nearly halved since Labour's time in office, she must be horrified at the state New Labour left the country in 2010...",https://nitter.poast.org/Jeremy_Hunt/status/1759567410577715645#m,Conservatives,Conservatives,31781,6757,619757,1726,Jeremy Hunt,@Jeremy_Hunt,
[],,,,,tweet,"Feb 19, 2024 · 9:20 AM UTC",503,55,50,177,"🚨📵 SCHOOLS UPDATE: All the evidence shows mobile phones are bad for children's concentration.

But nearly one in three pupils report phones being used in lessons.

So today, we're delivering on our promise to ban mobile phones in schools.",https://nitter.poast.org/Conservatives/status/1759508129190977726#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservatives,@Conservatives,
['https://nitter.poast.org/pic/orig/media%2FGGqUq03XEAA__Bq.jpg'],Conservatives retweeted,,Gillian Keegan MP,@GillianKeegan,retweet,"Feb 19, 2024 · 7:03 AM UTC","1,009",81,157,218,"All the evidence shows mobile phones are bad for children's concentration, yet nearly one in three pupils report phones being used in lessons.

So today, we're delivering on our promise to ban mobile phones in schools.

My article 👇
mol.im/a/13098493",https://nitter.poast.org/GillianKeegan/status/1759473670429294837#m,Conservatives,Conservatives,31781,6757,619757,1726,Gillian Keegan MP,@GillianKeegan,
[],Conservatives retweeted,,Esther McVey,@EstherMcVey1,retweet,"Feb 18, 2024 · 3:42 PM UTC",655,32,38,174,"Any organisation that serves the public needs to put the public first.

There is a post pandemic malaise that needs shaking off - with a renewed focus on looking after customers. 👇🏼

dailymail.co.uk/news/article…",https://nitter.poast.org/EstherMcVey1/status/1759242071204855902#m,Conservatives,Conservatives,31781,6757,619757,1726,Esther McVey,@EstherMcVey1,
[],Conservatives retweeted,,Richard Holden MP,@RicHolden,retweet,"Feb 18, 2024 · 11:10 AM UTC",217,60,14,121,"Hang on a second

Sir @Keir_Starmer spoke to @CllrAzharAli in October 2023 about the Middle East and made his views “loud and clear”

Months before the recording was published @labourpress?

What’s going on inside @UKLabour?",https://nitter.poast.org/RicHolden/status/1759173532209107063#m,Conservatives,Conservatives,31781,6757,619757,1726,Richard Holden MP,@RicHolden,
['https://nitter.poast.org/pic/orig/media%2FGGjhlGaWoAAcKJT.jpg'],Conservatives retweeted,,Richard Holden MP,@RicHolden,retweet,"Feb 17, 2024 · 5:18 PM UTC",305,32,7,122,"Fantastic turnout in #Rochdale for @paulellison82 with @Conservatives Deputy Chairman @JamesDalyMP out in support!

Don’t let racism win in Rochdale

This time vote for the local guy who’s Rochdale born and bred and isn’t interested in stoking hatred for political ends. 

Paul Ellison just wants to stand up for his home town

#VoteConservative
#RochdaleByElection #WalkingToWin",https://nitter.poast.org/RicHolden/status/1758903692399427787#m,Conservatives,Conservatives,31781,6757,619757,1726,Richard Holden MP,@RicHolden,
['https://nitter.poast.org/pic/orig/media%2FGGi1E9IXgAAO3Oi.jpg'],Conservatives retweeted,,Selaine Saxby MP,@SelaineSaxby,retweet,"Feb 17, 2024 · 2:03 PM UTC",45,4,1,34,Good to be out in #Braunton this morning #ToryDoorstep,https://nitter.poast.org/SelaineSaxby/status/1758854757794431051#m,Conservatives,Conservatives,31781,6757,619757,1726,Selaine Saxby MP,@SelaineSaxby,
"['https://nitter.poast.org/pic/orig/media%2FGGik5lVXIAAgy_I.jpg', 'https://nitter.poast.org/pic/orig/media%2FGGik6VbWcAAxxkp.jpg']",Conservatives retweeted,,Julia Lopez MP,@JuliaLopezMP,retweet,"Feb 17, 2024 · 12:53 PM UTC",16,7,,29,"Thanks to volunteers who joined our @huccat Upminster team’s newsletter delivery session this morning with me and ⁦@KeithPrinceAM⁩ ⁦Newsletter inc updates on our successful bus campaign, local job fair results and another push to Mayor Khan on Hornchurch police station.",https://nitter.poast.org/JuliaLopezMP/status/1758836988994617536#m,Conservatives,Conservatives,31781,6757,619757,1726,Julia Lopez MP,@JuliaLopezMP,
['https://nitter.poast.org/pic/orig/media%2FGGcgLoDWoAEj5Co.jpg'],Conservatives retweeted,,Conservative PCCs,@ConservativePCC,retweet,"Feb 16, 2024 · 8:34 AM UTC",,27,5,30,Labour’s numbers on policing don’t add up - again.,https://nitter.poast.org/ConservativePCC/status/1758409570366468455#m,Conservatives,Conservatives,31781,6757,619757,1726,Conservative PCCs,@ConservativePCC,
[],Conservatives retweeted,,Rishi Sunak,@RishiSunak,retweet,"Feb 16, 2024 · 12:08 PM UTC","4,494","1,734",315,"12,567","This is terrible news. As the fiercest advocate for Russian democracy, Alexei Navalny demonstrated incredible courage throughout his life.

My thoughts are with his wife and the people of Russia, for whom this is a huge tragedy.",https://nitter.poast.org/RishiSunak/status/1758463245671690574#m,Conservatives,Conservatives,31781,6757,619757,1726,Rishi Sunak,@RishiSunak,
